COM Travel objective,COM turning objective (YAW),EE collision objective,EE height objective (stance),EE height objective (swing),EE position objective,Fixed wheels objective,GRF 0 in swing constraint,GRF friction constraints,GRF is positive constraint,GRF stance regularizer,Passive wheels (w/o friction),Total energy,feet sliding objective,foot path smoothness objective,force acceleration objective,joint angle bound constraint,joint angle velocity constraint,periodic body orientations (PITCH),periodic body orientations (ROLL),periodic joint angles,periodic wheel speed,robot COM objective,robot COM orientations objective,robot EE objective,robot body orientation regularizer objective (PITCH),robot body orientation regularizer objective (ROLL),robot body orientation regularizer objective (YAW),robot joint angles regularizer objective,robot joint angles regularizer objective (non-limb),robot smooth body orientation trajectories,robot smooth joint angle trajectories,robot smooth joint angles objective (non-limb),robot stance leg smooth joint angle trajectories,robot stance legs motion regularizer,robot wheel axis objective,smoothCOM,torque angular acceleration objective,wheel angle smooth regularizer,wheel speed bound constraint,wheel speed smooth regularizer,
1.50218e-07,0,0,0.000144853,0,1.40201e-08,1.16134,6.32625e-07,0,5.4237e-08,0.000308506,0.000103699,0,2.79477e-05,0,1.26359e-06,0,0,0,9.59109e-08,4.4635e-10,0.000357127,2.44322e-09,4.00245e-05,0,4.44772e-05,0.00016038,0.00108957,0.000368077,0.00886324,0,0.00159075,0.00214373,0.0011488,0.0159156,5.57451e-05,0,0,0,0,0,
1.0675e-07,0,0,0.000143463,0,1.27955e-08,1.17817,1.80007e-07,0,5.43409e-08,0.000296949,0.000100201,0,2.75903e-05,0,1.15903e-06,0,2.29399e-07,0,9.25537e-08,4.82275e-10,0.000357285,2.00385e-09,3.98717e-05,0,4.05877e-05,0.00016244,0.00112145,0.000364559,0.00896168,0,0.00158674,0.0021546,0.00108893,0.015753,5.50272e-05,0,0,0,0,0,
8.56327e-08,0,0,0.000143368,0,1.19879e-08,1.18881,1.1395e-07,0,5.39539e-08,0.000286714,9.83025e-05,0,2.75046e-05,0,1.09962e-06,0,8.13235e-06,0,9.10417e-08,4.66495e-10,0.000357414,1.78957e-09,3.97826e-05,0,3.89846e-05,0.000162839,0.00113923,0.000363808,0.00902195,0,0.00159493,0.00216159,0.00104208,0.0156529,5.45913e-05,0,0,0,0,0,
8.18835e-08,0,0,0.000144088,0,1.1676e-08,1.19364,1.03928e-07,0,5.33321e-08,0.000278429,9.94319e-05,0,2.76148e-05,0,1.08129e-06,0,9.87062e-06,0,9.08928e-08,3.95387e-10,0.000357516,1.75369e-09,3.97345e-05,0,3.90305e-05,0.000162827,0.00114535,0.000365168,0.00904682,0,0.00160923,0.00216739,0.00101004,0.0156074,5.43979e-05,0,0,0,0,0,
8.66322e-08,0,0,0.000145029,0,1.16959e-08,1.19468,1.00589e-07,0,5.24867e-08,0.000272279,0.000101271,0,2.77135e-05,0,1.0797e-06,0,1.30237e-05,0,9.13518e-08,3.72364e-10,0.000357579,1.80357e-09,3.9714e-05,0,3.98124e-05,0.000161625,0.0011449,0.00036713,0.00904877,0,0.00162123,0.00217198,0.000992275,0.0155965,5.43049e-05,0,0,0,0,0,
9.06141e-08,0,0,0.000145654,0,1.17504e-08,1.19486,9.86236e-08,0,5.1942e-08,0.000268232,0.000102094,0,2.77646e-05,0,1.08249e-06,0,1.48757e-05,0,9.19788e-08,3.6637e-10,0.000357618,1.84387e-09,3.97106e-05,0,4.05177e-05,0.00016113,0.00114339,0.000368138,0.00904618,0,0.00162939,0.00217522,0.000982866,0.0155959,5.43123e-05,0,0,0,0,0,
9.28003e-08,0,0,0.000145939,0,1.1772e-08,1.19502,9.76028e-08,0,5.169e-08,0.000266025,0.000102356,0,2.77867e-05,0,1.08471e-06,0,1.58092e-05,0,9.21921e-08,3.60493e-10,0.000357643,1.86629e-09,3.97116e-05,0,4.09456e-05,0.000160884,0.00114256,0.000368538,0.00904492,0,0.00163352,0.00217721,0.000978161,0.015596,5.43155e-05,0,0,0,0,0,
9.39948e-08,0,0,0.000146075,0,1.1783e-08,1.19512,9.70282e-08,0,5.15621e-08,0.000264812,0.000102468,0,2.77967e-05,0,1.08568e-06,0,1.62753e-05,0,9.22952e-08,3.56911e-10,0.000357659,1.87873e-09,3.97124e-05,0,4.12139e-05,0.000160751,0.00114218,0.00036864,0.00904399,0,0.00163556,0.00217845,0.000975863,0.0155962,5.43188e-05,0,0,0,0,0,
9.46739e-08,0,0,0.000146141,0,1.17891e-08,1.19517,9.66728e-08,0,5.14887e-08,0.000264106,0.00010252,0,2.78012e-05,0,1.08594e-06,0,1.65142e-05,0,9.23495e-08,3.54803e-10,0.000357669,1.88588e-09,3.97124e-05,0,4.13877e-05,0.000160676,0.00114205,0.000368616,0.0090432,0,0.00163657,0.00217928,0.000974777,0.0155965,5.43223e-05,0,0,0,0,0,
9.50729e-08,0,0,0.000146174,0,1.17927e-08,1.19519,9.64416e-08,0,5.14434e-08,0.00026367,0.000102545,0,2.7803e-05,0,1.08589e-06,0,1.66407e-05,0,9.23794e-08,3.53561e-10,0.000357677,1.8901e-09,3.9712e-05,0,4.15016e-05,0.00016063,0.00114203,0.000368551,0.00904255,0,0.00163706,0.00217986,0.000974292,0.0155968,5.43252e-05,0,0,0,0,0,
9.53138e-08,0,0,0.000146191,0,1.1795e-08,1.19519,9.6284e-08,0,5.14141e-08,0.000263388,0.000102556,0,2.78036e-05,0,1.08574e-06,0,1.671e-05,0,9.23963e-08,3.5282e-10,0.000357683,1.89267e-09,3.97114e-05,0,4.15769e-05,0.000160602,0.00114205,0.000368481,0.00904202,0,0.00163729,0.00218028,0.000974098,0.015597,5.43274e-05,0,0,0,0,0,
9.54624e-08,0,0,0.000146199,0,1.17964e-08,1.19519,9.61765e-08,0,5.13943e-08,0.0002632,0.000102562,0,2.78035e-05,0,1.08557e-06,0,1.67491e-05,0,9.24061e-08,3.52373e-10,0.000357687,1.89426e-09,3.97107e-05,0,4.16269e-05,0.000160583,0.00114209,0.000368419,0.00904162,0,0.00163739,0.0021806,0.000974038,0.0155971,5.4329e-05,0,0,0,0,0,
9.55559e-08,0,0,0.000146203,0,1.17973e-08,1.19518,9.61016e-08,0,5.13807e-08,0.000263071,0.000102564,0,2.78033e-05,0,1.08541e-06,0,1.67717e-05,0,9.24118e-08,3.52101e-10,0.00035769,1.89526e-09,3.97102e-05,0,4.16603e-05,0.00016057,0.00114213,0.000368369,0.00904131,0,0.00163743,0.00218084,0.000974037,0.0155973,5.43301e-05,0,0,0,0,0,
